No puedo creer que haya personas que sigan justificando la discriminación y el racismo en pleno siglo XXI,0
Hoy hace un día precioso para ir a la playa,0
Encuentran en San Andrés a migrantes que iban en una embarcación a Centroamérica,1
Polémica por tarifas diferenciales a extranjeros en  museos ¿Es discriminación?,1
Se canceló el partido de fútbol de este fin de semana,0
Mi abuela siempre me hace galletas de avena cuando la visito,0
¿Sabías que hoy es el cumpleaños de mi primo?,0
La tecnología nos hace la vida más fácil,0
El gobierno anunció la implementación de un programa para combatir la violencia de género,1
Tengo una nueva vecina que toca la guitarra muy bien,0
No estoy muy emocionado acerca de esta nueva política,0
Este juego de video es interesante pero no es muy adictivo,0
"Movilidad hoy, 20 de enero: así está el tráfico en las vías de Bogotá",1
Es una buena noticia que finalmente se haya llegado a un acuerdo entre las partes en conflicto,0
Este tipo de noticias solo generan más odio y división en la sociedad,0
Incendio en Envigado: una fábrica de muebles y otra de madera terminaron afectadas,1
"Tragedia en autopista Medellín-Bogotá, bebé de 9 meses y su abuelo fallecieron",1
El parque de patinaje es muy popular entre los jóvenes,0
Realmente espero que los líderes mundiales tomen medidas concretas para combatir la pobreza,0
Hoy cocinaré una cena especial para mi pareja,0
"Los medios deberían centrarse en temas importantes, no en publicar este tipo de basura",0
La historia nos enseña importantes lecciones que debemos recordar para no repetir los mismos errores,0
No puedo creer que todavía haya personas que piensen que las vacunas son peligrosas,0
Ayer compré una bicicleta nueva y estoy muy emocionado por salir a pasear con ella,0
Reserva Van der Hammen: ¿Por qué importa tanto la decisión de intervención?,1
Registran sismo de magnitud 37 en Cundinamarca,1
Un informe indica que la mortalidad infantil ha disminuido en el último año,1
Lula recalca que condena la invasión a Ucrania tras críticas de EE UU y UE,1
Un avance por el camino de la desnutrición crónica,1
Movilidad hoy 30 de enero: así está el tráfico en las vías de Bogotá,1
Las millonarias inversiones de Chevron Colombia en la isla de San Andrés,1
El nuevo álbum de Shakira no es tan bueno como el anterior,0
Mi hermana va a viajar a Europa el próximo mes,0
Este documental es interesante pero no es muy entretenido,0
El gato del vecindario está durmiendo en el tejado,0
La música clásica siempre me relaja,0
11180 barriles de petróleo de Ecopetrol en riesgo por bloqueos en Campo Casabe,1
El gato de mi vecino siempre se sienta en el tejado,0
Paro minero: Gobierno ordenó a la Fuerza Pública desbloquear vías de Antioquia,1
La noticia podría tener diferentes interpretaciones dependiendo del contexto,0
"Detenido por presunto abuso sexual a su hija, fue asesinado a golpes en Soacha",1
Me parece una falta de ética que se manipule la información para favorecer a ciertos grupos,0
Ciclista mató a presunto ladrón tras reaccionar a robo de su bicicleta en Bogotá,1
Me preocupa ver cómo la falta de financiamiento está afectando a este programa social,0
"Millonaria inversión de ANH para geotermia, hidrógeno y eólica en Colombia",1
La tienda de zapatos del centro tiene nuevos modelos en su colección,0
Me parece increíble cómo el arte puede transformar la vida de las personas,0
La prensa solo publica lo que le conviene y oculta la verdad,0
Me alegra que finalmente se haya hecho justicia en este caso,0
El clima hoy parece ser bastante agradable,0
Elecciones 2023: Medellín en vilo y Luis Pérez lidera en Antioquia,1
A la cárcel hombre que abusó de su pareja y la obligó a tatuarse su nombre,1
No sé cómo resolver este problema matemático,0
"No se puede confiar en los medios de comunicación, siempre ocultan algo",0
Me encanta leer artículos interesantes en línea,0
"¡Qué buen servicio ofrecen, muy recomendable!",0
Estas fueron las actividades que empujaron a la economía colombiana a inicio de año,1
MinHacienda de Colombia señaló que se debería capitalizar el Banco Mundial,1
¿Por qué no hay más opciones de transporte público en esta ciudad?,0
La NASA lanzó un satélite para estudiar el cambio climático,1
“No damos plata para mejorar la imagen”: Dau sobre resultados de CCV,1
Ordenan captura del padre de la bebé que murió en un motel De esto lo acusan,1
La multa para la mujer que insultó a un policía en el Aeropuerto El Dorado,1
Es una vergüenza que el gobierno no haga nada para ayudar a la gente que lo necesita,0
Me alegra ver que finalmente se está haciendo algo para proteger la biodiversidad en esta zona,0
El Banco Central de Colombia anunció un aumento en la tasa de interés,1
Las afectaciones que dejó el temblor en Antioquia y Santander,1
Reparto benéfico de dinero termina en tragedia: 53 muertos en estampida en Yemen,1
"No entiendo por qué siempre sale en las noticias lo mismo, aburren",0
"Emergencia por lluvias en La Calera, Gachancipá, Sesquilé y Guatavita",1
¿Por qué hay tanta discriminación hacia las minorías en este país?,0
Es impresionante la cantidad de información que se puede encontrar en Internet,0
La corrupción en este país es endémica y parece que nunca se va a acabar,0
Jornada de marchas en Cali concluyó con intimidaciones a periodistas,1
No entiendo cómo algunos medios pueden seguir defendiendo a los políticos corruptos,0
Mi amigo tiene un perro llamado Max que es muy juguetón,0
Nevado del Ruiz: las gobernaciones de Caldas y Tolima priorizan la reparación de vías,1
Es triste ver cómo la educación pública cada vez está peor,0
Reversibles se habilitan tras críticas del Gobernador al comandante de Tránsito,1
Encuentran  cancha de tejo  en un jardín infantil del ICBF en el norte de Bogotá,1
"Otra vez con lo mismo, ¿no tienen nada más interesante que reportar?",0
La literatura latinoamericana es muy rica y diversa,0
Renault estrena su vitrina virtual para compra de vehículos y repuestos,1
"Pulso electoral en Cartagena, William García toma la delantera",1
La innovación y la creatividad son fundamentales para el progreso de la humanidad,0
Ayer me comí una hamburguesa gigante en el restaurante de la esquina,0
La guía definitiva sobre la Renta solidaria: 5 puntos claves que debe conocer,1
No me gusta cómo se manejan las empresas multinacionales en mi país,0
Mi gato tiene los ojos verdes,0
Anoche fui al teatro y la obra fue muy divertida,0
"La situación económica del país es insostenible, algo tiene que cambiar pronto",0
La Bolsa de Londres registró un aumento en la jornada de hoy,1
La región de “Los dos ríos” se declara en emergencia humanitaria,1
"No sé por qué perdí mi tiempo leyendo esto, no hay nada interesante aquí",0
Movilidad en Bogotá: se normaliza el paso en la Av El Dorado con carrera 103,1
Una investigación periodística encontró pruebas de corrupción en el departamento de obras públicas,1
Las redes sociales solo sirven para difundir mentiras y desinformación,0
Anoche tuve una cena con amigos y fue muy divertida,0
Mi programa de televisión favorito siempre me hace reír,0
"La inseguridad es cada vez más alarmante, ¿cómo vamos a solucionar este problema?",0
La noticia es relevante para el contexto actual,0
No puedo creer que todavía haya gente que niegue el cambio climático,0
No tengo una preferencia en particular sobre esta marca,0
"Denuncian precios de tiquetes de Avianca para Festival Vallenato, ¿cuánto cuestan?",1
Día del patrimonio mundial: ¿Qué es lo más simbólico de Machu Pichu?,1
Me sorprende que haya personas que sigan utilizando el transporte público sin cubrebocas,0
El tráfico en la ciudad es muy congestionado,0
Movilidad lunes 23 de enero: Afectación vial por manifestación en Av Américas,1
"Plan éxodo en Colombia para Semana Santa: estas son las rutas, fechas y horarios",1
Crear un distrito minero: la propuesta del Gobierno a los promotores del paro,1
El mecánico del taller de la esquina está arreglando un coche rojo,0
“Welcome to America”: a Alejandro Char le renovaron la visa a Estados Unidos,1
Minambiente demandará licencia ambiental otorgada a empresa minera en Santander,1
Me da risa ver cómo algunos todavía defienden a los políticos corruptos,0
Esta pandemia ha cambiado todo para siempre,0
Es interesante ver cómo la tecnología está transformando esta industria,0
La falta de educación sexual en este país es alarmante,0
No me parece justo que los políticos tengan tantos privilegios,0
¿Qué hora es?,0
Hay una fuerte discriminación en la Plaza Botero: vocera de Putamente Poderosas,1
¿Qué medidas se están tomando para prevenir la propagación de enfermedades?,0
¡Qué linda es mi ciudad natal!,0
El cambio climático es una amenaza real y debemos tomar medidas urgentes para evitar una catástrofe global,0
Me parece triste que tantos niños en todo el mundo tengan que trabajar en condiciones peligrosas,0
"En fotos: el drama de los damnificados por el derrumbe de Rosas, Cauca",1
¿Hasta cuándo vamos a permitir que la violencia siga cobrando vidas en nuestras calles?,0
Catedral de Sal de Zipaquirá en Semana Santa: horarios y precios,1
La noticia podría ser vista de diferentes formas,0
En fiesta había armas de fuego ilegales: Policía las incauta y hay capturas,1
Video: en tanqueta del Esmad estudiantes de Sabaneta celebraron regreso a clases,1
Me gusta tomar café en la cafetería del barrio,0
¿Por qué mi jefe nunca está satisfecho con mi trabajo?,0
No puedo creer que no haya ganado mi equipo favorito,0
¿Cómo pueden creer todo lo que dice la prensa? Hay que cuestionarlo todo,0
El cielo está despejado hoy,0
Las esculturas de la Plaza Botero en Medellín serán intervenidas,1
El señor que vende frutas en la esquina tiene los mejores mangos,0
No puedo creer que hayan pasado 10 años desde que me gradué,0
¿Has leído algún buen libro últimamente?,0
Secretario de gobierno de Medellín: “Esta batalla campal fue culpa de Nacional”,1
"Enfermera y guardaespaldas de Chávez, condenados a 15 años de cárcel en EE UU",1
"Movilidad hoy, lunes 6 de marzo: así está el tráfico en las vías de Bogotá",1
Estudiantes de la U de Medellín fueron sancionados por el contenido de sus TikTok,1
Matan a mujer de 5 balazos: ¿quién ordenó el atentado contra Maikelis?,1
David Seinjet deja Presidencia de Credivalores que recibe capitalización,1
